,Unnamed: 0,time,open,high,low,close,volume,RSI_14,ema_4,ema_15,macd,macdSignal,macdHist
0,0,2022-09-12 11:11:00,22111.42,22129.7,22109.67,22121.04,158.1805,,,,,,
1,1,2022-09-12 11:12:00,22121.04,22136.81,22116.68,22133.52,140.36926,,,,,,
2,2,2022-09-12 11:13:00,22134.06,22134.69,22116.95,22120.76,190.31365,,,,,,
3,3,2022-09-12 11:14:00,22120.76,22121.16,22104.33,22107.75,165.99519,,22120.767499999998,,,,
4,4,2022-09-12 11:15:00,22107.75,22125.95,22106.0,22122.73,214.7971,,22121.552499999998,,,,
5,5,2022-09-12 11:16:00,22122.72,22174.42,22115.92,22170.72,386.44592,,22141.2195,,,,
6,6,2022-09-12 11:17:00,22170.73,22188.73,22168.13,22184.56,371.75158,,22158.5557,,,,
7,7,2022-09-12 11:18:00,22184.56,22210.32,22180.26,22199.52,368.84976,,22174.94142,,,,
8,8,2022-09-12 11:19:00,22200.41,22208.08,22183.36,22197.95,241.73543,,22184.144852,,,,
9,9,2022-09-12 11:20:00,22197.95,22198.9,22169.28,22183.5,211.46168,,22183.8869112,,,,
10,10,2022-09-12 11:21:00,22183.5,22211.41,22179.1,22204.32,261.18424,,22192.06014672,,,,
11,11,2022-09-12 11:22:00,22204.32,22226.85,22202.59,22204.72,283.22873,,22197.124088032,,,,
12,12,2022-09-12 11:23:00,22205.91,22256.94,22201.41,22240.2,515.35353,,22214.3544528192,,,,
13,13,2022-09-12 11:24:00,22240.18,22251.38,22223.69,22225.57,320.12982,,22218.84067169152,,,,
14,14,2022-09-12 11:25:00,22225.57,22272.03,22214.7,22255.09,443.81425,77.147717607031,22233.34040301491,22178.13,,,
15,15,2022-09-12 11:26:00,22253.68,22262.37,22224.53,22247.21,293.45501,74.58409766588576,22238.888241808945,22186.765,,,
16,16,2022-09-12 11:27:00,22247.24,22255.03,22231.95,22250.28,253.87504,74.93357562301269,22243.444945085368,22194.704375,,,
17,17,2022-09-12 11:28:00,22249.02,22255.1,22241.22,22245.04,203.36228,73.08631606639156,22244.08296705122,22200.996328125002,,,
18,18,2022-09-12 11:29:00,22245.05,22255.2,22234.62,22237.42,236.96683,70.36959599732545,22241.41778023073,22205.549287109377,,,
19,19,2022-09-12 11:30:00,22237.42,22245.02,22226.95,22229.03,230.18561,67.39893216992662,22236.46266813844,22208.484376220706,,,
20,20,2022-09-12 11:31:00,22229.03,22237.79,22220.78,22231.54,192.67788,67.83638352804951,22234.493600883063,22211.36632919312,,,
21,21,2022-09-12 11:32:00,22231.54,22257.56,22229.59,22254.9,206.07543,71.64920898604498,22242.656160529838,22216.80803804398,,,
22,22,2022-09-12 11:33:00,22253.91,22255.76,22235.59,22246.15,226.33364,68.37936514618224,22244.053696317904,22220.475783288482,,,
23,23,2022-09-12 11:34:00,22247.77,22287.91,22245.05,22281.55,370.18861,73.62389102736083,22259.05221779074,22228.11006037742,,,
